city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Cape Town,-33.9258,18.4232,291.08,85,0,0.45,ZA,1633988204
Dikson,73.5069,80.5464,272.48,67,100,6.38,RU,1633988455
Vardø,70.3705,31.1107,279.26,96,100,2.93,NO,1633988455
Albany,42.6001,-73.9662,294.38,77,25,0.79,US,1633988394
Hobart,-42.8794,147.3294,282.66,81,40,0.45,AU,1633988456
Gaya,24.7833,85.0,298.1,94,2,0.0,IN,1633988323
Mataura,-46.1927,168.8643,279.16,87,99,3.93,NZ,1633988456
Hermanus,-34.4187,19.2345,289.21,80,100,0.93,ZA,1633988457
Hilo,19.7297,-155.09,299.4,88,90,3.6,US,1633988457
Rikitea,-23.1203,-134.9692,296.61,77,90,5.92,PF,1633988457
Road Town,18.4167,-64.6167,301.59,83,40,5.14,VG,1633988288
Inhambane,-23.865,35.3833,292.76,64,84,3.09,MZ,1633988458
Kapaa,22.0752,-159.319,301.14,72,20,3.13,US,1633988458
Constitución,-35.3333,-72.4167,287.1,78,10,3.6,CL,1633988458
Ushuaia,-54.8,-68.3,283.96,46,40,7.72,AR,1633988459
Langham,52.3668,-106.9679,279.27,55,96,8.92,CA,1633988459
Saint-Pierre,-21.3393,55.4781,296.09,91,75,2.57,RE,1633988459
San Rafael,-34.6177,-68.3301,298.37,23,7,7.25,AR,1633988460
Qaanaaq,77.484,-69.3632,272.34,97,100,3.71,GL,1633988460
Iqaluit,63.7506,-68.5145,275.0,87,40,1.79,CA,1633988461
Lata,40.1629,-8.3327,294.38,56,97,2.27,PT,1633988461
Carnarvon,-24.8667,113.6333,289.19,63,75,9.77,AU,1633988462
Ribeira Grande,38.5167,-28.7,294.64,77,100,3.52,PT,1633988462
Busselton,-33.65,115.3333,279.87,60,92,6.77,AU,1633988463
Walvis Bay,-22.9575,14.5053,289.25,71,0,5.06,NA,1633988463
Vaini,-21.2,-175.2,297.24,78,20,5.14,TO,1633988463
Arraial do Cabo,-22.9661,-42.0278,293.13,88,75,5.14,BR,1633988464
Nikolskoye,59.7035,30.7861,279.19,71,55,3.88,RU,1633988464
Petropavlovsk-Kamchatskiy,53.0452,158.6483,275.48,100,75,2.0,RU,1633988465
Ponta Delgada,37.7333,-25.6667,294.55,94,75,3.6,PT,1633988465
Atuona,-9.8,-139.0333,298.86,71,17,8.58,PF,1633988465
Tommot,58.9564,126.2925,271.59,80,99,3.93,RU,1633988466
Ukiah,39.1502,-123.2078,293.95,30,1,8.75,US,1633988466
Bitam,2.076,11.5007,293.56,99,70,1.18,GA,1633988466
Punta Arenas,-53.15,-70.9167,285.21,50,40,11.83,CL,1633988467
Swellendam,-34.0226,20.4417,290.12,58,100,1.11,ZA,1633988467
Wanning,18.8003,110.3967,296.84,84,78,6.41,CN,1633988467
Puerto Ayora,-0.7393,-90.3518,298.13,81,95,4.02,EC,1633988468
Wawa,9.9022,4.4192,299.61,64,45,1.42,NG,1633988468
Hay River,60.8156,-115.7999,277.14,70,75,1.54,CA,1633988468
Souillac,-20.5167,57.5167,296.68,94,40,2.06,MU,1633988469
Hasaki,35.7333,140.8333,294.42,89,100,8.5,JP,1633988469
Otane,-39.8833,176.6333,286.14,49,52,7.0,NZ,1633988469
Kurchum,48.5722,83.6542,278.55,86,100,2.9,KZ,1633988470
Bengkulu,-3.8004,102.2655,297.05,87,91,1.66,ID,1633988470
Kilindoni,-7.9139,39.6668,297.9,79,89,5.02,TZ,1633988471
Tazovsky,67.4667,78.7,270.92,75,100,2.74,RU,1633988471
Fairbanks,64.8378,-147.7164,278.6,77,1,3.09,US,1633988472
Channel-Port aux Basques,47.5702,-59.1367,285.32,89,100,5.7,CA,1633988472
Saldanha,-33.0117,17.9442,289.18,85,100,5.98,ZA,1633988472
Port Augusta,-32.5,137.7667,285.77,31,79,2.17,AU,1633988473
Shetpe,44.1667,52.1167,284.08,35,70,4.0,KZ,1633988473
Cidreira,-30.1811,-50.2056,290.2,92,99,9.78,BR,1633988473
Yellowknife,62.456,-114.3525,275.05,83,75,0.45,CA,1633988474
Mazsalaca,57.8633,25.0547,278.85,61,52,4.18,LV,1633988474
Kyren,51.6828,102.1408,276.77,79,100,0.21,RU,1633988475
Faanui,-16.4833,-151.75,299.9,78,50,7.35,PF,1633988475
Silva Jardim,-22.6508,-42.3917,293.14,98,99,3.05,BR,1633988475
Padang,-0.9492,100.3543,297.19,85,56,1.64,ID,1633988476
